Episode    100  |  Step  1.9  |  Score   20.6  |  Loss   nan  |  Eps  1.00  |  Q   nan  |  Rem 1.56
Episode  19200  |  Step  2.6  |  Score   28.8  |  Loss 1.417  |  Eps  0.76  |  Q  95.6  |  Rem 1.71
Episode  19300  |  Step  2.6  |  Score   24.6  |  Loss 1.458  |  Eps  0.76  |  Q  95.5  |  Rem 1.71
Episode  19400  |  Step  2.4  |  Score   24.9  |  Loss 1.433  |  Eps  0.76  |  Q  95.4  |  Rem 1.61
Episode  19500  |  Step  2.5  |  Score   33.7  |  Loss 1.426  |  Eps  0.76  |  Q  95.5  |  Rem 1.56
Episode  19600  |  Step  2.6  |  Score   28.2  |  Loss 1.320  |  Eps  0.76  |  Q  95.1  |  Rem 1.80
Episode  19700  |  Step  2.3  |  Score   32.9  |  Loss 1.391  |  Eps  0.76  |  Q  94.9  |  Rem 1.68
Episode  19800  |  Step  2.5  |  Score   27.0  |  Loss 1.315  |  Eps  0.75  |  Q  95.0  |  Rem 1.76
Episode  19900  |  Step  3.2  |  Score   23.5  |  Loss 1.357  |  Eps  0.75  |  Q  94.8  |  Rem 1.99
Episode  20000  |  Step  3.5  |  Score   14.0  |  Loss 1.387  |  Eps  0.75  |  Q  94.0  |  Rem 2.21
Episode  20100  |  Step  2.9  |  Score   22.4  |  Loss 1.497  |  Eps  0.75  |  Q  93.6  |  Rem 1.88
Episode  20200  |  Step  2.9  |  Score   25.4  |  Loss 1.427  |  Eps  0.75  |  Q  93.5  |  Rem 1.84
Episode  20300  |  Step  2.9  |  Score   19.0  |  Loss 1.422  |  Eps  0.75  |  Q  93.3  |  Rem 1.99
Episode  20400  |  Step  3.3  |  Score   15.2  |  Loss 1.366  |  Eps  0.75  |  Q  92.8  |  Rem 1.97
Episode  20500  |  Step  3.0  |  Score   23.9  |  Loss 1.428  |  Eps  0.75  |  Q  92.4  |  Rem 1.88
Episode  20600  |  Step  3.1  |  Score   29.3  |  Loss 1.325  |  Eps  0.75  |  Q  92.3  |  Rem 1.93
Episode  20700  |  Step  2.7  |  Score   27.3  |  Loss 1.405  |  Eps  0.74  |  Q  92.0  |  Rem 1.75
Episode  20800  |  Step  2.8  |  Score   25.8  |  Loss 1.390  |  Eps  0.74  |  Q  91.7  |  Rem 1.76
Episode  20900  |  Step  3.3  |  Score   13.6  |  Loss 1.456  |  Eps  0.74  |  Q  91.0  |  Rem 2.01
Episode  21000  |  Step  3.3  |  Score   19.1  |  Loss 1.372  |  Eps  0.74  |  Q  90.9  |  Rem 2.03
Episode  21100  |  Step  2.9  |  Score   20.7  |  Loss 1.430  |  Eps  0.74  |  Q  90.9  |  Rem 1.93
Episode  21200  |  Step  2.9  |  Score   28.4  |  Loss 1.435  |  Eps  0.74  |  Q  90.1  |  Rem 1.83
Episode  21300  |  Step  3.2  |  Score   22.2  |  Loss 1.314  |  Eps  0.74  |  Q  90.0  |  Rem 1.97
Episode  21400  |  Step  3.0  |  Score   24.2  |  Loss 1.314  |  Eps  0.74  |  Q  89.8  |  Rem 1.84
Episode  21500  |  Step  3.0  |  Score   37.7  |  Loss 1.389  |  Eps  0.73  |  Q  89.2  |  Rem 1.68
Episode  21600  |  Step  2.7  |  Score   20.9  |  Loss 1.341  |  Eps  0.73  |  Q  88.4  |  Rem 1.88
